,,,N_101,N_102,N_103,N_104,N_105,N_106,N_107,N_108,N_109,N_110,N_111,N_112,N_113,N_114,N_115,N_116,N_117,N_118,N_119,N_120,N_121,N_122,N_123,N_124
sc01,y2030,2030-01-01T00:00:00+01:00,108,97,180,74,71,136,125,171,175,195,0,0,265,194,317,100,0,333,181,128,0,0,0,0
sc01,y2030,2030-01-01T01:00:00+01:00,99.10601653,89.01188522,165.1766942,67.90597429,65.15302939,124.800169,114.7060377,156.9178595,160.5884527,178.9414187,0,0,243.1767998,178.0237704,290.8945115,91.76483012,0,305.5768843,166.0943425,117.4589826,0,0,0,0
sc01,y2030,2030-01-01T02:00:00+01:00,91.63409946,82.30099674,152.7234991,62.78632741,60.24093575,115.3910882,106.0579855,145.0873241,148.4811797,165.4504574,0,0,224.8429292,164.6019935,268.9630512,84.84638839,0,282.5384733,153.571963,108.6033771,0,0,0,0
sc01,y2030,2030-01-01T03:00:00+01:00,84.54858519,75.93715521,140.9143086,57.931438,55.58286619,106.4685888,97.85715878,133.8685932,137.0000223,152.6571677,0,0,207.4571766,151.8743104,248.1657547,78.28572703,0,260.691471,141.6971659,100.2057306,0,0,0,0
sc01,y2030,2030-01-01T04:00:00+01:00,83.94810279,75.39783306,139.9135046,57.51999635,55.18810461,105.7124257,97.162156,132.9178294,136.0270184,151.5729634,0,0,205.9837707,150.7956661,246.4032276,77.7297248,0,258.8399836,140.6908019,99.49404775,0,0,0,0
sc01,y2030,2030-01-01T05:00:00+01:00,84.37094818,75.77761087,140.618247,57.80972375,55.4660863,106.2448977,97.65156039,133.5873346,136.7121846,152.3364342,0,0,207.021308,151.5552217,247.6443572,78.12124832,0,260.1437569,141.3994595,99.99519784,0,0,0,0
sc01,y2030,2030-01-01T06:00:00+01:00,81.48225214,73.18313387,135.8037536,55.83043202,53.56703613,102.6072805,94.3081622,129.0135659,132.0314271,147.120733,0,0,199.9333039,146.3662677,239.1654993,75.44652976,0,251.2369441,136.5582189,96.57155809,0,0,0,0
sc01,y2030,2030-01-01T07:00:00+01:00,84.21640979,75.6388125,140.360683,57.70383634,55.36449162,106.0502938,97.47269652,133.3426488,136.4617751,152.0574066,0,0,206.6421166,151.277625,247.1907584,77.97815721,0,259.6672635,141.1404646,99.81204123,0,0,0,0
sc01,y2030,2030-01-01T08:00:00+01:00,92.52018584,83.09683358,154.2003097,63.39346067,60.82345551,116.5069007,107.0835484,146.4902942,149.9169678,167.0503355,0,0,227.0171227,166.1936672,271.5638788,85.66683874,0,285.270573,155.0569781,109.6535536,0,0,0,0
sc01,y2030,2030-01-01T09:00:00+01:00,101.6020451,91.25368863,169.3367418,69.61621607,66.79393704,127.943316,117.5949596,160.8699047,164.6329434,183.4481369,0,0,249.3013143,182.5073773,298.2208175,94.07596766,0,313.2729723,170.2775015,120.4172386,0,0,0,0
sc01,y2030,2030-01-01T10:00:00+01:00,108.2885649,97.259174,180.4809414,74.19772037,71.18970468,136.363378,125.3339871,171.4568944,175.467582,195.5210199,0,0,265.7080527,194.518348,317.8469913,100.2671897,0,333.8897417,181.4836133,128.3420028,0,0,0,0
sc01,y2030,2030-01-01T11:00:00+01:00,114.9277623,103.2221569,191.5462704,78.74680007,75.55436223,144.7238488,133.0182434,181.9689569,186.2255407,207.5084597,0,0,281.9986759,206.4443137,337.3342652,106.4145947,0,354.3606003,192.6104164,136.2106812,0,0,0,0
sc01,y2030,2030-01-01T12:00:00+01:00,115.4148371,103.6596222,192.3580618,79.08053652,75.87456882,145.3372023,133.5819874,182.7401587,187.0147823,208.3879003,0,0,283.1938132,207.3192444,338.76392,106.8655899,0,355.8624143,193.4267177,136.7879551,0,0,0,0
sc01,y2030,2030-01-01T13:00:00+01:00,116.9275694,105.01828,194.8792824,80.11703832,76.86905028,147.2421245,135.332835,185.1353183,189.465969,211.1192226,0,0,286.9056102,210.0365599,343.2040696,108.266268,0,360.5266724,195.9619451,138.580823,0,0,0,0
sc01,y2030,2030-01-01T14:00:00+01:00,114.8201227,103.1254806,191.3668712,78.67304704,75.48359918,144.5883027,132.8936605,181.7985276,186.0511247,207.3141104,0,0,281.7345603,206.2509611,337.0183231,106.3149284,0,354.0287117,192.4300205,136.0831084,0,0,0,0
sc01,y2030,2030-01-01T15:00:00+01:00,114.8201227,103.1254806,191.3668712,78.67304704,75.48359918,144.5883027,132.8936605,181.7985276,186.0511247,207.3141104,0,0,281.7345603,206.2509611,337.0183231,106.3149284,0,354.0287117,192.4300205,136.0831084,0,0,0,0
sc01,y2030,2030-01-01T16:00:00+01:00,111.0241668,99.71614983,185.040278,76.0721143,72.98810967,139.8082101,128.5001931,175.7882641,179.9002703,200.4603012,0,0,272.4204093,199.4322997,325.8764896,102.8001545,0,342.3245144,186.0682796,131.5841977,0,0,0,0
sc01,y2030,2030-01-01T17:00:00+01:00,110.3386084,99.10041684,183.8976807,75.60237985,72.53741851,138.9449143,127.7067227,174.7027967,178.7894118,199.2224875,0,0,270.7382522,198.2008337,323.8642488,102.1653782,0,340.2107093,184.9193345,130.7716841,0,0,0,0
sc01,y2030,2030-01-01T18:00:00+01:00,114.1126624,102.4900764,190.1877706,78.18830571,75.01850953,143.6974267,132.0748407,180.6783821,184.904777,206.0367515,0,0,279.9986623,204.9801528,334.9417961,105.6598726,0,351.8473757,191.2443694,135.2446369,0,0,0,0
sc01,y2030,2030-01-01T19:00:00+01:00,132.4402913,118.9510024,220.7338188,90.74612551,87.06722853,166.7766631,153.2873742,209.6971279,214.6023239,239.1283037,0,0,324.9692333,237.9020047,388.7367809,122.6298993,0,408.3575648,221.9601178,156.9662712,0,0,0,0
sc01,y2030,2030-01-01T20:00:00+01:00,133.2255435,119.6562752,222.0425726,91.28416872,87.58345918,167.7654993,154.196231,210.9404439,215.8747233,240.5461203,0,0,326.8960096,239.3125504,391.0416417,123.3569848,0,410.7787593,223.2761424,157.8969405,0,0,0,0
sc01,y2030,2030-01-01T21:00:00+01:00,132.0013091,118.5567313,220.0021818,90.4453414,86.77863837,166.2238707,152.7792929,209.0020727,213.8910101,238.3356969,0,0,323.892101,237.1134626,387.4482868,122.2234343,0,407.0040363,221.2244161,156.4459959,0,0,0,0
sc01,y2030,2030-01-01T22:00:00+01:00,125.3327183,112.5673488,208.8878638,85.87612178,82.39465738,157.826386,145.0610165,198.4434706,203.0854231,226.2951858,0,0,307.529355,225.1346976,367.8747379,116.0488132,0,386.442548,210.0483519,148.5424809,0,0,0,0
sc01,y2030,2030-01-01T23:00:00+01:00,111.8374751,100.4466212,186.3957918,76.62938109,73.52278456,140.8323761,129.4415221,177.0760022,181.218131,201.9287745,0,0,274.4160269,200.8932423,328.2637001,103.5532177,0,344.8322149,187.431324,132.5481186,0,0,0,0
sc01,y2030,2030-01-02T00:00:00+01:00,114.6398243,102.9635459,191.0663738,78.54950925,75.36506968,144.3612602,132.6849818,181.5130552,185.7589746,206.9885717,0,0,281.2921615,205.9270918,336.4891139,106.1479855,0,353.4727916,192.1278537,135.8694214,0,0,0,0
