,,,Gas_C1,Gas_C2,Ant_C3,Ant_C4,Gas_C5,Gas_C6,Ant_C7,Ant_C8,Sub_C9,Sub_C10,Sub_C11,Sub_C12,Sub_C13,Sub_C14,Gas_C15,Sub_C16,Sub_C17,Sub_C18,Sub_C19,Sub_C20,Gas_C21,Gas_C22,Nuc_N23,Nuc_N24,Hyd_H25,Hyd_H26,Hyd_H27,Pum_H28,Pum_H29,Pum_H30,Gas_C31,Gas_C32,Gas_C33,Ons_W100,Ons_W101,Sol_S106,Sol_S109
sc01,y2030,2030-01-01T00:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.465916667,14.65916667,29.31833334,,,,,,,,,,
sc01,y2030,2030-01-01T01:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.465916667,14.65916667,29.31833334,,,,,,,,,,
sc01,y2030,2030-01-01T02:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.465916667,14.65916667,29.31833334,,,,,,,,,,
sc01,y2030,2030-01-01T03:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.465916667,14.65916667,29.31833334,,,,,,,,,,
sc01,y2030,2030-01-01T04:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.465916667,14.65916667,29.31833334,,,,,,,,,,
sc01,y2030,2030-01-01T05:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.465916667,14.65916667,29.31833334,,,,,,,,,,
sc01,y2030,2030-01-01T06:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.465916667,14.65916667,29.31833334,,,,,,,,,,
sc01,y2030,2030-01-01T07:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.465916667,14.65916667,29.31833334,,,,,,,,,,
sc01,y2030,2030-01-01T08:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.465916667,14.65916667,29.31833334,,,,,,,,,,
sc01,y2030,2030-01-01T09:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.465916667,14.65916667,29.31833334,,,,,,,,,,
sc01,y2030,2030-01-01T10:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.465916667,14.65916667,29.31833334,,,,,,,,,,
sc01,y2030,2030-01-01T11:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.465916667,14.65916667,29.31833334,,,,,,,,,,
sc01,y2030,2030-01-01T12:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.465916667,14.65916667,29.31833334,,,,,,,,,,
sc01,y2030,2030-01-01T13:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.465916667,14.65916667,29.31833334,,,,,,,,,,
sc01,y2030,2030-01-01T14:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.465916667,14.65916667,29.31833334,,,,,,,,,,
sc01,y2030,2030-01-01T15:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.465916667,14.65916667,29.31833334,,,,,,,,,,
sc01,y2030,2030-01-01T16:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.465916667,14.65916667,29.31833334,,,,,,,,,,
sc01,y2030,2030-01-01T17:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.465916667,14.65916667,29.31833334,,,,,,,,,,
sc01,y2030,2030-01-01T18:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.465916667,14.65916667,29.31833334,,,,,,,,,,
sc01,y2030,2030-01-01T19:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.465916667,14.65916667,29.31833334,,,,,,,,,,
sc01,y2030,2030-01-01T20:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.465916667,14.65916667,29.31833334,,,,,,,,,,
sc01,y2030,2030-01-01T21:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.465916667,14.65916667,29.31833334,,,,,,,,,,
sc01,y2030,2030-01-01T22:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.465916667,14.65916667,29.31833334,,,,,,,,,,
sc01,y2030,2030-01-01T23:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.465916667,14.65916667,29.31833334,,,,,,,,,,
sc01,y2030,2030-01-02T00:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.228616667,12.28616667,24.57233334,,,,,,,,,,
sc01,y2030,2030-01-02T01:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.228616667,12.28616667,24.57233334,,,,,,,,,,
sc01,y2030,2030-01-02T02:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.228616667,12.28616667,24.57233334,,,,,,,,,,
sc01,y2030,2030-01-02T03:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.228616667,12.28616667,24.57233334,,,,,,,,,,
sc01,y2030,2030-01-02T04:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.228616667,12.28616667,24.57233334,,,,,,,,,,
sc01,y2030,2030-01-02T05:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.228616667,12.28616667,24.57233334,,,,,,,,,,
sc01,y2030,2030-01-02T06:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.228616667,12.28616667,24.57233334,,,,,,,,,,
sc01,y2030,2030-01-02T07:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.228616667,12.28616667,24.57233334,,,,,,,,,,
sc01,y2030,2030-01-02T08:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.228616667,12.28616667,24.57233334,,,,,,,,,,
sc01,y2030,2030-01-02T09:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.228616667,12.28616667,24.57233334,,,,,,,,,,
sc01,y2030,2030-01-02T10:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.228616667,12.28616667,24.57233334,,,,,,,,,,
sc01,y2030,2030-01-02T11:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.228616667,12.28616667,24.57233334,,,,,,,,,,
sc01,y2030,2030-01-02T12:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.228616667,12.28616667,24.57233334,,,,,,,,,,
sc01,y2030,2030-01-02T13:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.228616667,12.28616667,24.57233334,,,,,,,,,,
sc01,y2030,2030-01-02T14:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.228616667,12.28616667,24.57233334,,,,,,,,,,
sc01,y2030,2030-01-02T15:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.228616667,12.28616667,24.57233334,,,,,,,,,,
sc01,y2030,2030-01-02T16:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.228616667,12.28616667,24.57233334,,,,,,,,,,
sc01,y2030,2030-01-02T17:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.228616667,12.28616667,24.57233334,,,,,,,,,,
sc01,y2030,2030-01-02T18:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.228616667,12.28616667,24.57233334,,,,,,,,,,
sc01,y2030,2030-01-02T19:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.228616667,12.28616667,24.57233334,,,,,,,,,,
sc01,y2030,2030-01-02T20:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.228616667,12.28616667,24.57233334,,,,,,,,,,
sc01,y2030,2030-01-02T21:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.228616667,12.28616667,24.57233334,,,,,,,,,,
sc01,y2030,2030-01-02T22:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.228616667,12.28616667,24.57233334,,,,,,,,,,
sc01,y2030,2030-01-02T23:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.228616667,12.28616667,24.57233334,,,,,,,,,,
sc01,y2030,2030-01-03T00:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.508108333,15.08108333,30.16216666,,,,,,,,,,
sc01,y2030,2030-01-03T01:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.508108333,15.08108333,30.16216666,,,,,,,,,,
sc01,y2030,2030-01-03T02:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.508108333,15.08108333,30.16216666,,,,,,,,,,
sc01,y2030,2030-01-03T03:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.508108333,15.08108333,30.16216666,,,,,,,,,,
sc01,y2030,2030-01-03T04:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.508108333,15.08108333,30.16216666,,,,,,,,,,
sc01,y2030,2030-01-03T05:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.508108333,15.08108333,30.16216666,,,,,,,,,,
sc01,y2030,2030-01-03T06:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.508108333,15.08108333,30.16216666,,,,,,,,,,
sc01,y2030,2030-01-03T07:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.508108333,15.08108333,30.16216666,,,,,,,,,,
sc01,y2030,2030-01-03T08:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.508108333,15.08108333,30.16216666,,,,,,,,,,
sc01,y2030,2030-01-03T09:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.508108333,15.08108333,30.16216666,,,,,,,,,,
sc01,y2030,2030-01-03T10:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.508108333,15.08108333,30.16216666,,,,,,,,,,
sc01,y2030,2030-01-03T11:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.508108333,15.08108333,30.16216666,,,,,,,,,,
sc01,y2030,2030-01-03T12:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.508108333,15.08108333,30.16216666,,,,,,,,,,
sc01,y2030,2030-01-03T13:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.508108333,15.08108333,30.16216666,,,,,,,,,,
sc01,y2030,2030-01-03T14:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.508108333,15.08108333,30.16216666,,,,,,,,,,
sc01,y2030,2030-01-03T15:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.508108333,15.08108333,30.16216666,,,,,,,,,,
sc01,y2030,2030-01-03T16:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.508108333,15.08108333,30.16216666,,,,,,,,,,
sc01,y2030,2030-01-03T17:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.508108333,15.08108333,30.16216666,,,,,,,,,,
sc01,y2030,2030-01-03T18:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.508108333,15.08108333,30.16216666,,,,,,,,,,
sc01,y2030,2030-01-03T19:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.508108333,15.08108333,30.16216666,,,,,,,,,,
sc01,y2030,2030-01-03T20:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.508108333,15.08108333,30.16216666,,,,,,,,,,
sc01,y2030,2030-01-03T21:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.508108333,15.08108333,30.16216666,,,,,,,,,,
sc01,y2030,2030-01-03T22:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.508108333,15.08108333,30.16216666,,,,,,,,,,
sc01,y2030,2030-01-03T23:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.508108333,15.08108333,30.16216666,,,,,,,,,,
sc01,y2030,2030-01-04T00:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.285695833,12.85695833,25.71391666,,,,,,,,,,
sc01,y2030,2030-01-04T01:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.285695833,12.85695833,25.71391666,,,,,,,,,,
sc01,y2030,2030-01-04T02:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.285695833,12.85695833,25.71391666,,,,,,,,,,
sc01,y2030,2030-01-04T03:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.285695833,12.85695833,25.71391666,,,,,,,,,,
sc01,y2030,2030-01-04T04:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.285695833,12.85695833,25.71391666,,,,,,,,,,
sc01,y2030,2030-01-04T05:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.285695833,12.85695833,25.71391666,,,,,,,,,,
sc01,y2030,2030-01-04T06:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.285695833,12.85695833,25.71391666,,,,,,,,,,
sc01,y2030,2030-01-04T07:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.285695833,12.85695833,25.71391666,,,,,,,,,,
sc01,y2030,2030-01-04T08:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.285695833,12.85695833,25.71391666,,,,,,,,,,
sc01,y2030,2030-01-04T09:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.285695833,12.85695833,25.71391666,,,,,,,,,,
sc01,y2030,2030-01-04T10:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.285695833,12.85695833,25.71391666,,,,,,,,,,
sc01,y2030,2030-01-04T11:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.285695833,12.85695833,25.71391666,,,,,,,,,,
sc01,y2030,2030-01-04T12:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.285695833,12.85695833,25.71391666,,,,,,,,,,
sc01,y2030,2030-01-04T13:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.285695833,12.85695833,25.71391666,,,,,,,,,,
sc01,y2030,2030-01-04T14:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.285695833,12.85695833,25.71391666,,,,,,,,,,
sc01,y2030,2030-01-04T15:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.285695833,12.85695833,25.71391666,,,,,,,,,,
sc01,y2030,2030-01-04T16:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.285695833,12.85695833,25.71391666,,,,,,,,,,
sc01,y2030,2030-01-04T17:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.285695833,12.85695833,25.71391666,,,,,,,,,,
sc01,y2030,2030-01-04T18:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.285695833,12.85695833,25.71391666,,,,,,,,,,
sc01,y2030,2030-01-04T19:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.285695833,12.85695833,25.71391666,,,,,,,,,,
sc01,y2030,2030-01-04T20:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.285695833,12.85695833,25.71391666,,,,,,,,,,
sc01,y2030,2030-01-04T21:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.285695833,12.85695833,25.71391666,,,,,,,,,,
sc01,y2030,2030-01-04T22:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.285695833,12.85695833,25.71391666,,,,,,,,,,
sc01,y2030,2030-01-04T23:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.285695833,12.85695833,25.71391666,,,,,,,,,,
sc01,y2030,2030-01-05T00:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.5052125,15.052125,30.10425,,,,,,,,,,
sc01,y2030,2030-01-05T01:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,1.5052125,15.052125,30.10425,,,,,,,,,,
