,,,LineType,Voltage,LossFactor,Resistance,Reactance,Susceptance,TAP,TTC,SecurityFactor,FixedCost,FixedChargeRate,BinaryInvestment
N_101,N_102,cc1,AC,138,0.01,0.0026,0.0139,0.04611,1,250,0.5,,,
N_101,N_103,cc1,AC,138,0.01,0.0546,0.2112,0.0572,1,250,0.5,,,
N_101,N_105,cc1,AC,138,0.01,0.0218,0.0845,0.0229,1,250,0.5,,,
N_102,N_104,cc1,AC,138,0.01,0.0328,0.1267,0.0343,1,250,0.5,,,
N_102,N_106,cc1,AC,138,0.01,0.0497,0.192,0.052,1,250,0.5,,,
N_103,N_109,cc1,AC,138,0.01,0.0308,0.119,0.0322,1,250,0.5,,,
N_103,N_124,cc1,AC,,0.01,0.023,0.0839,0,1.015,400,0.5,,,
N_104,N_109,cc1,AC,138,0.01,0.0268,0.1037,0.0281,1,250,0.5,,,
N_105,N_110,cc1,AC,138,0.01,0.0228,0.0883,0.0239,1,250,0.5,,,
N_106,N_110,cc1,AC,138,0.01,0.0139,0.0605,2.459,1,250,0.5,,,
N_107,N_108,cc1,AC,138,0.01,0.0159,0.0614,0.0166,1,250,0.5,,,
N_107,N_203,cc1,AC,138,0.01,0.042,0.161,0.044,1,1000,0.5,,,
N_108,N_109,cc1,AC,138,0.01,0.0427,0.1651,0.0447,1,250,0.5,,,
N_108,N_110,cc1,AC,138,0.01,0.0427,0.1651,0.0447,1,400,0.5,,,
N_109,N_111,cc1,AC,138,0.01,0.0023,0.0839,0,1.03,400,0.5,,,
N_109,N_112,cc1,AC,,0.01,0.0023,0.0839,0,1.03,400,0.5,,,
N_110,N_111,cc1,AC,138,0.01,0.0023,0.0839,0,1.015,400,0.5,,,
N_110,N_112,cc1,AC,,0.01,0.0023,0.0839,0,1.015,400,0.5,,,
N_111,N_113,cc1,AC,230,0.01,0.0061,0.0476,0.0999,1,750,0.5,,,
N_111,N_114,cc1,AC,230,0.01,0.0054,0.0418,0.0879,1,750,0.5,,,
N_112,N_113,cc1,AC,230,0.01,0.0061,0.0476,0.0999,1,750,0.5,,,
N_112,N_123,cc1,AC,230,0.01,0.0124,0.0966,0.203,1,750,0.5,,,
N_113,N_123,cc1,AC,230,0.01,0.0111,0.0865,0.1818,1,750,0.5,,,
N_113,N_215,cc1,AC,230,0.01,0.01,0.075,0.158,1,1000,0.5,,,
N_114,N_116,cc1,AC,230,0.01,0.005,0.0389,0.0818,1,750,0.5,,,
N_115,N_116,cc1,AC,230,0.01,0.0022,0.0173,0.0364,1,750,0.5,,,
N_115,N_121,cc1,AC,230,0.01,0.0063,0.049,0.103,1,750,0.5,,,
N_115,N_121,cc2,AC,230,0.01,0.0063,0.049,0.103,1,750,0.5,,,
N_115,N_124,cc1,AC,230,0.01,0.0067,0.0519,0.1091,1,750,0.5,,,
N_116,N_117,cc1,AC,230,0.01,0.0033,0.0259,0.0545,1,750,0.5,,,
N_116,N_119,cc1,AC,230,0.01,0.003,0.0231,0.0485,1,750,0.5,,,
N_117,N_118,cc1,AC,230,0.01,0.0018,0.0144,0.0303,1,750,0.5,,,
N_117,N_122,cc1,AC,230,0.01,0.0135,0.1053,0.2212,1,750,0.5,,,
N_118,N_121,cc1,AC,230,0.01,0.0033,0.0259,0.0545,1,750,0.5,,,
N_118,N_121,cc2,AC,230,0.01,0.0033,0.0259,0.0545,1,750,0.5,,,
N_119,N_120,cc1,AC,230,0.01,0.0051,0.0396,0.0833,1,750,0.5,,,
N_119,N_120,cc2,AC,230,0.01,0.0051,0.0396,0.0833,1,750,0.5,,,
N_120,N_123,cc1,AC,230,0.01,0.0028,0.0216,0.0455,1,750,0.5,,,
N_120,N_123,cc2,AC,230,0.01,0.0028,0.0216,0.0455,1,750,0.5,,,
N_121,N_122,cc1,AC,230,0.01,0.0087,0.0678,0.1424,1,750,0.5,,,
N_123,N_217,cc1,AC,230,0.01,0.01,0.074,0.155,1,1000,0.5,,,
N_201,N_202,cc1,AC,138,0.01,0.0026,0.0139,0.04611,1,250,0.5,,,
N_201,N_203,cc1,AC,138,0.01,0.0546,0.2112,0.0572,1,250,0.5,,,
N_201,N_205,cc1,AC,138,0.01,0.0218,0.0845,0.0229,1,250,0.5,,,
N_202,N_204,cc1,AC,138,0.01,0.0328,0.1267,0.0343,1,250,0.5,,,
N_202,N_206,cc1,AC,138,0.01,0.0497,0.192,0.052,1,250,0.5,,,
N_203,N_209,cc1,AC,138,0.01,0.0308,0.119,0.0322,1,250,0.5,,,
N_203,N_224,cc1,AC,,0.01,0.023,0.0839,0,1.015,400,0.5,,,
N_204,N_209,cc1,AC,138,0.01,0.0268,0.1037,0.0281,1,250,0.5,,,
N_205,N_210,cc1,AC,138,0.01,0.0228,0.0883,0.0239,1,250,0.5,,,
N_206,N_210,cc1,AC,138,0.01,0.0139,0.0605,2.459,1,250,0.5,,,
N_207,N_208,cc1,AC,138,0.01,0.0159,0.0614,0.0166,1,250,0.5,,,
N_208,N_209,cc1,AC,138,0.01,0.0427,0.1651,0.0447,1,250,0.5,,,
N_208,N_210,cc1,AC,138,0.01,0.0427,0.1651,0.0447,1,400,0.5,,,
N_209,N_211,cc1,AC,,0.01,0.0023,0.0839,0,1.03,400,0.5,,,
N_209,N_212,cc1,AC,,0.01,0.0023,0.0839,0,1.03,400,0.5,,,
N_210,N_211,cc1,AC,138,0.01,0.0023,0.0839,0,1.015,400,0.5,,,
N_210,N_212,cc1,AC,,0.01,0.0023,0.0839,0,1.015,400,0.5,,,
N_211,N_213,cc1,AC,230,0.01,0.0061,0.0476,0.0999,1,750,0.5,,,
N_211,N_214,cc1,AC,230,0.01,0.0054,0.0418,0.0879,1,750,0.5,,,
N_212,N_213,cc1,AC,230,0.01,0.0061,0.0476,0.0999,1,750,0.5,,,
N_212,N_223,cc1,AC,230,0.01,0.0124,0.0966,0.203,1,750,0.5,,,
N_213,N_223,cc1,AC,230,0.01,0.0111,0.0865,0.1818,1,750,0.5,,,
N_214,N_216,cc1,AC,230,0.01,0.005,0.0389,0.0818,1,750,0.5,,,
N_215,N_216,cc1,AC,230,0.01,0.0022,0.0173,0.0364,1,750,0.5,,,
N_215,N_221,cc1,AC,230,0.01,0.0063,0.049,0.103,1,750,0.5,,,
N_215,N_221,cc2,AC,230,0.01,0.0063,0.049,0.103,1,750,0.5,,,
N_215,N_224,cc1,AC,230,0.01,0.0067,0.0519,0.1091,1,750,0.5,,,
N_216,N_217,cc1,AC,230,0.01,0.0033,0.0259,0.0545,1,750,0.5,,,
N_216,N_219,cc1,AC,230,0.01,0.003,0.0231,0.0485,1,750,0.5,,,
N_217,N_218,cc1,AC,230,0.01,0.0018,0.0144,0.0303,1,750,0.5,,,
N_217,N_222,cc1,AC,230,0.01,0.0135,0.1053,0.2212,1,750,0.5,,,
N_218,N_221,cc1,AC,230,0.01,0.0033,0.0259,0.0545,1,750,0.5,,,
N_218,N_221,cc2,AC,230,0.01,0.0033,0.0259,0.0545,1,750,0.5,,,
N_219,N_220,cc1,AC,230,0.01,0.0051,0.0396,0.0833,1,750,0.5,,,
N_219,N_220,cc2,AC,230,0.01,0.0051,0.0396,0.0833,1,750,0.5,,,
N_220,N_223,cc1,AC,230,0.01,0.0028,0.0216,0.0455,1,750,0.5,,,
N_220,N_223,cc2,AC,230,0.01,0.0028,0.0216,0.0455,1,750,0.5,,,
N_221,N_222,cc1,AC,230,0.01,0.0087,0.0678,0.1424,1,750,0.5,,,
N_301,N_302,cc1,AC,138,0.01,0.0026,0.0139,0.04611,1,250,0.5,,,
N_301,N_303,cc1,AC,138,0.01,0.0546,0.2112,0.0572,1,250,0.5,,,
N_301,N_305,cc1,AC,138,0.01,0.0218,0.0845,0.0229,1,250,0.5,,,
N_302,N_304,cc1,AC,138,0.01,0.0328,0.1267,0.0343,1,250,0.5,,,
N_302,N_306,cc1,AC,138,0.01,0.0497,0.192,0.052,1,250,0.5,,,
N_303,N_309,cc1,AC,138,0.01,0.0308,0.119,0.0322,1,250,0.5,,,
N_303,N_324,cc1,AC,,0.01,0.023,0.0839,0,1.015,400,0.5,,,
N_304,N_309,cc1,AC,138,0.01,0.0268,0.1037,0.0281,1,250,0.5,,,
N_305,N_310,cc1,AC,138,0.01,0.0228,0.0883,0.0239,1,250,0.5,,,
N_306,N_310,cc1,AC,138,0.01,0.0139,0.0605,2.459,1,250,0.5,,,
N_307,N_308,cc1,AC,138,0.01,0.0159,0.0614,0.0166,1,250,0.5,,,
