,,,Gas_C1,Gas_C2,Ant_C3,Ant_C4,Gas_C5,Gas_C6,Ant_C7,Ant_C8,Sub_C9,Sub_C10,Sub_C11,Sub_C12,Sub_C13,Sub_C14,Gas_C15,Sub_C16,Sub_C17,Sub_C18,Sub_C19,Sub_C20,Gas_C21,Gas_C22,Nuc_N23,Nuc_N24,Hyd_H25,Hyd_H26,Hyd_H27,Pum_H28,Pum_H29,Pum_H30,Gas_C31,Gas_C32,Gas_C33,Gas_C34,Gas_C35,Ant_C36,Ant_C37,Gas_C38,Gas_C39,Ant_C40,Ant_C41,Sub_C42,Sub_C43,Sub_C44,Sub_C45,Sub_C46,Sub_C47,Gas_C48,Sub_C49,Sub_C50,Sub_C51,Sub_C52,Sub_C53,Gas_C54,Gas_C55,Nuc_N56,Nuc_N57,Hyd_H58,Hyd_H59,Hyd_H60,Pum_H61,Pum_H62,Pum_H63,Gas_C64,Gas_C65,Gas_C66,Gas_C67,Gas_C68,Ant_C69,Ant_C70,Gas_C71,Gas_C72,Ant_C73,Ant_C74,Sub_C75,Sub_C76,Sub_C77,Sub_C78,Sub_C79,Sub_C80,Gas_C81,Sub_C82,Sub_C83,Sub_C84,Sub_C85,Sub_C86,Gas_C87,Gas_C88,Nuc_N89,Nuc_N90,Hyd_H91,Hyd_H92,Hyd_H93,Pum_H94,Pum_H95,Pum_H96,Gas_C97,Gas_C98,Gas_C99,Ons_W100,Ons_W101,Ons_W102,Ons_W103,Ons_W104,Ons_W105,Sol_S106,Sol_S107,Sol_S108,Sol_S109,Sol_S110,Sol_S111
sc01,y2030,1/1/2030 0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346.742625,188.49,376.98,346.742625,188.49,376.98,0.00141,0.00423,0.0235,0.00141,0.00423,0.0235
sc01,y2030,1/1/2030 1:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343.591875,173.64672,347.29344,343.591875,173.64672,347.29344,0.0015,0.0045,0.025,0.0015,0.0045,0.025
sc01,y2030,1/1/2030 2:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340.0539375,161.06193,322.12386,340.0539375,161.06193,322.12386,0.00135,0.00405,0.0225,0.00135,0.00405,0.0225
sc01,y2030,1/1/2030 3:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341.556375,154.51968,309.03936,341.556375,154.51968,309.03936,0.00153,0.00459,0.0255,0.00153,0.00459,0.0255
sc01,y2030,1/1/2030 4:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339.753,145.071,290.142,339.753,145.071,290.142,0.00129,0.00387,0.0215,0.00129,0.00387,0.0215
sc01,y2030,1/1/2030 5:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337.55625,134.93415,269.8683,337.55625,134.93415,269.8683,0.00222,0.00666,0.037,0.00222,0.00666,0.037
sc01,y2030,1/1/2030 6:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338.5126875,128.08341,256.16682,338.5126875,128.08341,256.16682,0.00663,0.01989,0.1105,0.00663,0.01989,0.1105
sc01,y2030,1/1/2030 7:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340.15425,116.22759,232.45518,340.15425,116.22759,232.45518,0.05706,0.17118,0.951,0.05706,0.17118,0.951
sc01,y2030,1/1/2030 8:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342.9080625,105.23385,210.4677,342.9080625,105.23385,210.4677,1.07664,3.22992,17.944,1.07664,3.22992,17.944
sc01,y2030,1/1/2030 9:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344.3251875,88.78236,177.56472,344.3251875,88.78236,177.56472,23.54499,70.63497,392.4165,23.54499,70.63497,392.4165
