,,,LineType,Voltage,LossFactor,Resistance,Reactance,Susceptance,TAP,TTC,SecurityFactor,FixedCost,FixedChargeRate,BinaryInvestment
Node_1,Node_6,cc1,AC,400,0.02,0,0.02,0,1,800,0.67,,,
Node_2,Node_3,cc1,AC,400,0.02,0,0.03,0,1,800,0.67,,,
Node_2,Node_6,cc1,AC,400,0.02,0,0.04,0,1,800,0.67,,,
Node_3,Node_4,cc1,AC,400,0.02,0,0.05,0,1,800,0.67,,,
Node_3,Node_6,cc1,AC,400,0.02,0,0.06,0,1,800,0.67,,,
Node_4,Node_5,cc1,AC,400,0.02,0,0.07,0,1,800,0.67,,,
Node_4,Node_6,cc1,AC,400,0.02,0,0.08,0,1,800,0.67,,,
Node_4,Node_9,cc1,AC,400,0.02,0,0.07,0,1,800,0.67,,,
Node_6,Node_7,cc1,AC,400,0.02,0,0.06,0,1,800,0.67,,,
Node_6,Node_8,cc1,AC,400,0.02,0,0.05,0,1,800,0.67,,,
Node_7,Node_8,cc1,AC,400,0.02,0,0.04,0,1,800,0.67,,,
Node_8,Node_9,cc1,AC,400,0.02,0,0.03,0,1,800,0.67,,,
Node_1,Node_4,cc1,AC,400,0.02,0,0.03,0,1,800,0.67,100,0.075,
