Scenario,Period,LoadLevel,Anthracite,Gas,Hydro,Nuclear,Onshore_wind,PumpedStorageHydro,Solar_PV,Subbituminous
sc01,y2030,1/1/2030 11:00,662.859025189707,2670.0,322.9431996427919,2600.0,1123.463336875,0.0,731.99362,0.0
sc01,y2030,1/1/2030 15:00,588.6581473200011,3630.0,100.0,2600.0,1098.6159400000001,0.0,984.4991125,0.0
sc01,y2030,1/1/2030 19:00,536.7476040150009,4180.0,100.0,2600.0,1084.858264375,0.0,496.77916999999974,0.0
sc01,y2030,1/1/2030 23:00,451.52547747339986,4500.0,975.9966216441026,2600.0,1209.1735431250002,69.45216574999979,0.05474999999965423,0.0
sc01,y2030,1/1/2030 3:00,294.85902518970704,750.0,1489.8885252217046,2600.0,1520.7045331250001,931.4978634535862,0.048249999999999994,0.0
sc01,y2030,1/1/2030 7:00,662.859025189707,1710.0,110.13787497999505,2600.0,1363.310196875,241.0976212390363,0.6944000000000001,0.0
sc01,y2030,1/10/2030 11:00,0.0,4740.0,512.1798108375024,2600.0,1555.350456875,500.0,732.0159999999998,0.0
sc01,y2030,1/10/2030 15:00,0.0,4740.0,612.1798108375024,2600.0,1200.8908806250001,1332.694498800001,967.0878624999999,0.0
sc01,y2030,1/10/2030 19:00,0.0,4740.0,1081.8801520258353,2600.0,1351.5993325000002,929.7683686266826,517.7466999999981,0.0
sc01,y2030,1/10/2030 23:00,0.0,4740.0,839.4209439626927,2600.0,1636.42655375,1401.297967897313,0.05799999999643728,0.0
sc01,y2030,1/10/2030 3:00,0.0,4580.0,100.0,2600.0,1479.8951781250003,0.0,0.046999999996833824,0.0
sc01,y2030,1/10/2030 7:00,0.0,4580.0,100.0,2600.0,1603.6176612499999,0.0,0.6249599999967175,0.0
sc01,y2030,1/11/2030 11:00,0.0,4740.0,491.00372710750037,2600.0,1968.6958718750004,0.0,684.3105999999999,0.0
sc01,y2030,1/11/2030 15:00,0.0,4740.0,900.0,2600.0,1769.9099881250002,402.9749708150028,945.3440124999998,0.0
sc01,y2030,1/11/2030 19:00,0.0,4740.0,900.0,2600.0,1612.538669375,740.0400216825019,507.43664999999817,0.0
sc01,y2030,1/11/2030 23:00,0.0,4740.0,785.7986386870427,2600.0,1491.573085,1463.500058507967,0.06374999999660536,0.0
sc01,y2030,1/11/2030 3:00,0.0,4580.0,100.0,2600.0,1726.82843,0.0,0.04699999999643729,0.0
sc01,y2030,1/11/2030 7:00,0.0,4580.0,100.0,2600.0,1920.068620625,0.0,0.6162799999963093,0.0
sc01,y2030,1/12/2030 11:00,0.0,4740.0,120.6023718875045,2600.0,1843.00214,0.0,663.9059199999998,0.0
sc01,y2030,1/12/2030 15:00,0.0,4740.0,481.2010054800026,2600.0,1854.4891137500001,0.0,923.933875,0.0
sc01,y2030,1/12/2030 19:00,0.0,4740.0,492.0309667300031,2600.0,1878.1658206250002,22.075690967500726,413.63387999999804,0.0
sc01,y2030,1/12/2030 23:00,0.0,4740.0,1059.4300288225063,2600.0,2034.647534375,124.12996327500025,0.05449999999632133,0.0
sc01,y2030,1/12/2030 3:00,0.0,4580.0,100.0,2600.0,1513.2123325,0.0,0.04574999999660534,0.0
sc01,y2030,1/12/2030 7:00,0.0,4580.0,100.0,2600.0,1672.1248887499999,0.0,0.5635799999964538,0.0
sc01,y2030,1/13/2030 11:00,0.0,4260.0,100.0,2600.0,1871.0797625,0.0,663.72478,0.0
sc01,y2030,1/13/2030 15:00,0.0,4420.0,100.0,2600.0,1846.01057375,0.0,930.9168624999999,0.0
sc01,y2030,1/13/2030 19:00,0.0,4580.0,100.0,2600.0,1792.1860137499998,0.0,472.7299099999978,0.0
sc01,y2030,1/13/2030 23:00,0.0,4740.0,679.331369242507,2600.0,1786.80993875,0.0,0.061249999995935556,0.0
sc01,y2030,1/13/2030 3:00,0.0,4580.0,100.0,2600.0,1936.4327093750003,0.0,0.04049999999632134,0.0
sc01,y2030,1/13/2030 7:00,0.0,4420.0,100.0,2600.0,1867.1947456250002,0.0,0.5713299999962362,0.0
sc01,y2030,1/14/2030 11:00,0.0,4740.0,547.3100256075029,2600.0,1649.071341875,324.1009315000004,623.5278999999998,0.0
sc01,y2030,1/14/2030 15:00,0.0,4740.0,864.9148876650038,2600.0,1722.90215,526.1456462750002,904.2662875,0.0
sc01,y2030,1/14/2030 19:00,0.0,4740.0,864.9148876650038,2600.0,1791.132423125,634.7803152675062,469.18771499999815,0.0
sc01,y2030,1/14/2030 23:00,0.0,4740.0,1280.014807894081,2600.0,2011.838654375,449.0260699259333,0.0559999999961486,0.0
sc01,y2030,1/14/2030 3:00,0.0,4580.0,100.0,2600.0,1825.73839625,0.0,0.056749999995935545,0.0
sc01,y2030,1/14/2030 7:00,0.0,4580.0,100.0,2600.0,1745.612165,0.0,0.544359999995793,0.0
sc01,y2030,1/15/2030 11:00,0.0,4740.0,491.4012608375046,2600.0,2171.5095668750005,0.0,636.63544,0.0
sc01,y2030,1/15/2030 15:00,0.0,4740.0,510.79617416250437,2600.0,2244.3601625,529.3505286000006,828.3461875,0.0
sc01,y2030,1/15/2030 19:00,0.0,4740.0,200.0,2600.0,2303.354495,1101.2301081525113,276.4099499999957,0.0
sc01,y2030,1/15/2030 23:00,0.0,4740.0,366.4612048471784,2600.0,2458.7317325000004,1051.9680282628303,0.042499999995599586,0.0
sc01,y2030,1/15/2030 3:00,0.0,4580.0,100.0,2600.0,2028.0548806250004,0.0,0.0464999999961486,0.0
sc01,y2030,1/15/2030 7:00,0.0,4580.0,100.0,2600.0,1992.9570481250003,0.0,0.561719999996203,0.0
sc01,y2030,1/16/2030 11:00,0.0,4740.0,200.0,2600.0,2231.9524925000005,263.9839552125037,603.6098200000001,0.0
sc01,y2030,1/16/2030 15:00,0.0,4740.0,537.502509250166,2600.0,2598.9757850000005,136.2526710123371,840.1220875,0.0
sc01,y2030,1/16/2030 19:00,0.0,4740.0,623.8931922723445,2600.0,2383.399698125,449.9889827551614,423.7126799999978,0.0
sc01,y2030,1/16/2030 23:00,0.0,4740.0,800.0,2600.0,2257.7535800000005,819.3953856100105,0.0544999999955096,0.0
sc01,y2030,1/16/2030 3:00,0.0,4580.0,100.0,2600.0,2153.2495118750003,0.0,0.04999999999559958,0.0
sc01,y2030,1/16/2030 7:00,0.0,4580.0,100.0,2600.0,2077.800455,0.0,0.4609699999956939,0.0
sc01,y2030,1/17/2030 11:00,0.0,4740.0,389.50067969816854,2600.0,1741.2426087500003,444.749699264335,724.0532800000001,0.0
sc01,y2030,1/17/2030 15:00,0.0,4740.0,900.0,2600.0,1783.2241418749998,453.29021088750454,976.3387000000001,0.0
sc01,y2030,1/17/2030 19:00,0.0,4740.0,1410.4993203018314,2600.0,1731.2591937500001,217.39961910067206,521.8364200000002,0.0
sc01,y2030,1/17/2030 23:00,0.0,4740.0,1216.1536323837945,2600.0,1782.4929725,878.4948607262163,0.061999999996140226,0.0
sc01,y2030,1/17/2030 3:00,0.0,4580.0,100.0,2600.0,2087.5043750000004,0.0,0.037499999995509604,0.0
