,,,,,MW 
sc01,y2030,1/1/2030 0:00,Gas,Gas_C1,20
sc01,y2030,1/1/2030 0:00,Gas,Gas_C2,20
sc01,y2030,1/1/2030 0:00,Anthracite,Ant_C3,60
sc01,y2030,1/1/2030 0:00,Anthracite,Ant_C4,60
sc01,y2030,1/1/2030 0:00,Gas,Gas_C5,20
sc01,y2030,1/1/2030 0:00,Gas,Gas_C6,20
sc01,y2030,1/1/2030 0:00,Anthracite,Ant_C7,60
sc01,y2030,1/1/2030 0:00,Anthracite,Ant_C8,60
sc01,y2030,1/1/2030 0:00,Subbituminous,Sub_C9,0
sc01,y2030,1/1/2030 0:00,Subbituminous,Sub_C10,0
sc01,y2030,1/1/2030 0:00,Subbituminous,Sub_C11,0
sc01,y2030,1/1/2030 0:00,Subbituminous,Sub_C12,0
sc01,y2030,1/1/2030 0:00,Subbituminous,Sub_C13,0
sc01,y2030,1/1/2030 0:00,Subbituminous,Sub_C14,0
sc01,y2030,1/1/2030 0:00,Subbituminous,Sub_C16,0
sc01,y2030,1/1/2030 0:00,Subbituminous,Sub_C17,0
sc01,y2030,1/1/2030 0:00,Subbituminous,Sub_C18,0
sc01,y2030,1/1/2030 0:00,Subbituminous,Sub_C19,0
sc01,y2030,1/1/2030 0:00,Subbituminous,Sub_C20,0
sc01,y2030,1/1/2030 0:00,Gas,Gas_C21,30
sc01,y2030,1/1/2030 0:00,Gas,Gas_C22,30
sc01,y2030,1/1/2030 0:00,Nuclear,Nuc_N23,400
sc01,y2030,1/1/2030 0:00,Nuclear,Nuc_N24,400
sc01,y2030,1/1/2030 0:00,Hydro,Hyd_H25,0
sc01,y2030,1/1/2030 0:00,Hydro,Hyd_H26,0
sc01,y2030,1/1/2030 0:00,Hydro,Hyd_H27,100
sc01,y2030,1/1/2030 0:00,PumpedStorageHydro,Pum_H28,372.6144359
sc01,y2030,1/1/2030 0:00,PumpedStorageHydro,Pum_H29,500
sc01,y2030,1/1/2030 0:00,PumpedStorageHydro,Pum_H30,129.3122072
sc01,y2030,1/1/2030 0:00,Gas,Gas_C31,30
sc01,y2030,1/1/2030 0:00,Gas,Gas_C32,30
sc01,y2030,1/1/2030 0:00,Gas,Gas_C33,50
sc01,y2030,1/1/2030 0:00,Gas,Gas_C34,20
sc01,y2030,1/1/2030 0:00,Gas,Gas_C35,20
sc01,y2030,1/1/2030 0:00,Anthracite,Ant_C36,60
sc01,y2030,1/1/2030 0:00,Anthracite,Ant_C37,60
sc01,y2030,1/1/2030 0:00,Gas,Gas_C38,20
sc01,y2030,1/1/2030 0:00,Gas,Gas_C39,20
sc01,y2030,1/1/2030 0:00,Anthracite,Ant_C40,60
sc01,y2030,1/1/2030 0:00,Anthracite,Ant_C41,60
sc01,y2030,1/1/2030 0:00,Subbituminous,Sub_C42,0
sc01,y2030,1/1/2030 0:00,Subbituminous,Sub_C43,0
sc01,y2030,1/1/2030 0:00,Subbituminous,Sub_C44,0
sc01,y2030,1/1/2030 0:00,Subbituminous,Sub_C45,24.89800075
sc01,y2030,1/1/2030 0:00,Subbituminous,Sub_C46,1.18313825
sc01,y2030,1/1/2030 0:00,Subbituminous,Sub_C47,0
sc01,y2030,1/1/2030 0:00,Subbituminous,Sub_C49,0
sc01,y2030,1/1/2030 0:00,Subbituminous,Sub_C50,0
sc01,y2030,1/1/2030 0:00,Subbituminous,Sub_C51,0
sc01,y2030,1/1/2030 0:00,Subbituminous,Sub_C52,0
sc01,y2030,1/1/2030 0:00,Subbituminous,Sub_C53,0
sc01,y2030,1/1/2030 0:00,Gas,Gas_C54,30
sc01,y2030,1/1/2030 0:00,Gas,Gas_C55,30
sc01,y2030,1/1/2030 0:00,Nuclear,Nuc_N56,800
sc01,y2030,1/1/2030 0:00,Nuclear,Nuc_N57,800
sc01,y2030,1/1/2030 0:00,Hydro,Hyd_H58,0
sc01,y2030,1/1/2030 0:00,Hydro,Hyd_H59,100
sc01,y2030,1/1/2030 0:00,Hydro,Hyd_H60,100
sc01,y2030,1/1/2030 0:00,PumpedStorageHydro,Pum_H61,0
sc01,y2030,1/1/2030 0:00,PumpedStorageHydro,Pum_H62,0
sc01,y2030,1/1/2030 0:00,PumpedStorageHydro,Pum_H63,164.8865031
sc01,y2030,1/1/2030 0:00,Gas,Gas_C64,30
sc01,y2030,1/1/2030 0:00,Gas,Gas_C65,30
sc01,y2030,1/1/2030 0:00,Gas,Gas_C66,50
sc01,y2030,1/1/2030 0:00,Gas,Gas_C67,20
sc01,y2030,1/1/2030 0:00,Gas,Gas_C68,20
sc01,y2030,1/1/2030 0:00,Anthracite,Ant_C69,60
sc01,y2030,1/1/2030 0:00,Anthracite,Ant_C70,60
sc01,y2030,1/1/2030 0:00,Gas,Gas_C71,20
sc01,y2030,1/1/2030 0:00,Gas,Gas_C72,20
sc01,y2030,1/1/2030 0:00,Anthracite,Ant_C73,60
sc01,y2030,1/1/2030 0:00,Anthracite,Ant_C74,60
sc01,y2030,1/1/2030 0:00,Subbituminous,Sub_C75,0
sc01,y2030,1/1/2030 0:00,Subbituminous,Sub_C76,0
sc01,y2030,1/1/2030 0:00,Subbituminous,Sub_C77,0
sc01,y2030,1/1/2030 0:00,Subbituminous,Sub_C78,100
sc01,y2030,1/1/2030 0:00,Subbituminous,Sub_C79,100
sc01,y2030,1/1/2030 0:00,Subbituminous,Sub_C80,100
sc01,y2030,1/1/2030 0:00,Subbituminous,Sub_C82,0
sc01,y2030,1/1/2030 0:00,Subbituminous,Sub_C83,0
sc01,y2030,1/1/2030 0:00,Subbituminous,Sub_C84,0
sc01,y2030,1/1/2030 0:00,Subbituminous,Sub_C85,0
sc01,y2030,1/1/2030 0:00,Subbituminous,Sub_C86,0
sc01,y2030,1/1/2030 0:00,Gas,Gas_C87,30
sc01,y2030,1/1/2030 0:00,Gas,Gas_C88,30
sc01,y2030,1/1/2030 0:00,Nuclear,Nuc_N89,100
sc01,y2030,1/1/2030 0:00,Nuclear,Nuc_N90,100
sc01,y2030,1/1/2030 0:00,Hydro,Hyd_H91,318.3542819
sc01,y2030,1/1/2030 0:00,Hydro,Hyd_H92,600
sc01,y2030,1/1/2030 0:00,Hydro,Hyd_H93,0
sc01,y2030,1/1/2030 0:00,PumpedStorageHydro,Pum_H94,168.0018079
sc01,y2030,1/1/2030 0:00,PumpedStorageHydro,Pum_H95,0
sc01,y2030,1/1/2030 0:00,PumpedStorageHydro,Pum_H96,0
sc01,y2030,1/1/2030 0:00,Gas,Gas_C97,30
sc01,y2030,1/1/2030 0:00,Gas,Gas_C98,30
sc01,y2030,1/1/2030 0:00,Gas,Gas_C99,50
sc01,y2030,1/1/2030 0:00,Onshore_wind,Ons_W100,346.742625
sc01,y2030,1/1/2030 0:00,Onshore_wind,Ons_W101,188.49
sc01,y2030,1/1/2030 0:00,Onshore_wind,Ons_W102,250
sc01,y2030,1/1/2030 0:00,Onshore_wind,Ons_W103,250
sc01,y2030,1/1/2030 0:00,Onshore_wind,Ons_W104,188.49
sc01,y2030,1/1/2030 0:00,Onshore_wind,Ons_W105,376.98
sc01,y2030,1/1/2030 0:00,Solar_PV,Sol_S106,0
sc01,y2030,1/1/2030 0:00,Solar_PV,Sol_S107,0
sc01,y2030,1/1/2030 0:00,Solar_PV,Sol_S108,0.0235
sc01,y2030,1/1/2030 0:00,Solar_PV,Sol_S109,0
